Vsup_V,Iz_mA,Vz_V
-0.0,0.0,-0.0
-0.5,0.0,-0.5
-1.0,0.0,-1.0
-1.5,0.0,-1.5
-2.0,0.0,-2.0
-2.5,-0.001,-2.5
-3.0,-0.005,-3.0
-3.5,-0.02,-3.48
-4.0,-0.08,-3.93
-4.1,-0.1,-4.0
-4.2,-0.12,-4.08
-4.3,-0.15,-4.15
-4.4,-0.18,-4.22
-4.5,-0.22,-4.29
-4.6,-0.26,-4.35
-4.7,-0.3,-4.4
-4.8,-0.35,-4.45
-4.9,-0.41,-4.5
-5.0,-0.46,-4.54
-5.1,-0.52,-4.58
-5.2,-0.59,-4.62
-5.3,-0.65,-4.65
-5.4,-0.72,-4.68
-5.5,-0.8,-4.7
-7.82,-2.8,-5.0
-9.93,-4.8,-5.09
-11.99,-6.8,-5.14
-14.04,-8.8,-5.17
-16.08,-10.8,-5.19
-18.12,-12.8,-5.21
-20.15,-14.8,-5.22
-22.18,-16.8,-5.23
-24.21,-18.8,-5.24
-25.43,-20.0,-5.25
